master_metadata_album_artist_name,master_metadata_track_name,danceability,energy,valence,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,key
Brent Faiyaz,Skyline,0.3389999999999999,0.3279999999999999,0.0629,-11.32,1.0,0.122,0.802,0.00037,0.382,174.72400000000002,10.0
PARTYNEXTDOOR,EYE ON IT,,,,,,,,,,,
PARTYNEXTDOOR,THE NEWS,0.74,0.465,0.276,-8.27,0.0,0.0411,0.304,0.00404,0.1009999999999999,116.74,7.0
Giveon,Like I Want You,0.64,0.355,0.437,-7.757000000000001,0.0,0.065,0.76,7.01e-05,0.114,119.513,10.0
Giveon,The Beach,0.649,0.508,0.215,-9.499,0.0,0.0657,0.18,0.000713,0.932,199.62,3.0
PARTYNEXTDOOR,Come and See Me (feat. Drake),0.7170000000000001,0.347,0.0589,-10.265,0.0,0.0636,0.0511,2.43e-06,0.087,169.97400000000002,11.0
PARTYNEXTDOOR,SHOWING YOU,,,,,,,,,,,
Two Door Cinema Club,What You Know,0.8109999999999999,0.98,0.316,-5.152,1.0,0.496,0.06,0.555,0.2269999999999999,140.031,1.0
Trippie Redd,Excitement,0.474,0.6809999999999999,0.0384,-3.4730000000000003,0.0,0.038,0.0263,4.270000000000001e-05,0.0972,121.96,4.0
Billie Eilish,ocean eyes,0.358,0.305,0.0732,-11.668,0.0,0.04,0.0502,0.125,0.0739,150.276,4.0
PARTYNEXTDOOR,BELIEVE IT,,,,,,,,,,,
Giveon,World We Created,0.588,0.507,0.33,-7.085,1.0,0.066,0.271,0.0,0.335,144.135,0.0
Giveon,Fields,,,,,,,,,,,
PARTYNEXTDOOR,TURN UP,,,,,,,,,,,
Giveon,All To Me,,,,,,,,,,,
Giveon,Heartbreak Anniversary,0.451,0.462,0.5329999999999999,-8.962,1.0,0.0782,0.527,0.0,0.303,178.34799999999998,0.0
Giveon,Stuck On You,0.599,0.45,0.144,-7.431,1.0,0.0519,0.166,3.289999999999999e-05,0.1119999999999999,157.969,7.0
Giveon,This Ain't Love,,,,,,,,,,,
PARTYNEXTDOOR,THINGS & SUCH,,,,,,,,,,,
dvsn,Friends (feat. PARTYNEXTDOOR),,,,,,,,,,,
Brent Faiyaz,Clouded,0.583,0.344,0.581,-8.765,1.0,0.0559,0.774,0.0,0.143,130.406,2.0
PARTYNEXTDOOR,TOUCH ME,,,,,,,,,,,
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),,,,,,,,,,,
Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),0.825,0.4579999999999999,0.161,-7.47,1.0,0.0577,0.114,0.0,0.102,145.115,0.0
Ski Mask The Slump God,COOLEST MONKEY IN THE JUNGLE,0.893,0.6759999999999999,0.804,-4.867,0.0,0.2269999999999999,0.324,0.0,0.0968,125.923,9.0
21 Savage,Bad Guy,0.856,0.949,0.8490000000000001,-4.393,1.0,0.214,0.00331,0.0,0.495,135.994,10.0
21 Savage,Spiral,,,,,,,,,,,
Moneybagg Yo,Time Today,,,,,,,,,,,
Ski Mask The Slump God,The Human Centipede,0.902,0.675,0.62,-6.7170000000000005,1.0,0.1639999999999999,0.182,0.0,0.12,130.118,2.0
Young Nudy,Shotta (feat. Megan Thee Stallion),0.813,0.5820000000000001,0.787,-7.559,1.0,0.0731,0.1,0.000259,0.107,163.24200000000002,1.0
NAV,Friends & Family,,,,,,,,,,,
KIDS SEE GHOSTS,Freeee (Ghost Town Pt. 2),,,,,,,,,,,
iann dior,Sick and Tired (ft. Machine Gun Kelly and Travis Barker),0.748,0.492,0.483,-8.584,1.0,0.0498,0.151,0.0,0.146,145.097,11.0
Gunna,ARGENTINA,0.804,0.725,0.356,-9.463,1.0,0.0838,0.0912,0.0,0.0708,139.967,1.0
Gunna,Who You Foolin,,,,,,,,,,,
Lil Baby,Low Down,0.81,0.546,0.615,-9.019,0.0,0.0686,0.0137,0.0,0.083,191.812,8.0
Lil Baby,No Sucker (feat. Moneybagg Yo),,,,,,,,,,,
Ski Mask The Slump God,Carbonated Water,0.938,0.5589999999999999,0.76,-6.734,1.0,0.312,0.0546,0.0,0.157,119.901,10.0
MadeinTYO,Skateboard P (feat. Big Sean),0.831,0.47,0.3389999999999999,-7.48,0.0,0.425,0.0371,0.0,0.144,150.94799999999998,1.0
Lil Yachty,Demon Time (Lil Yachty feat. Draft Day),,,,,,,,,,,
21 Savage,RIP Luv,0.63,0.3989999999999999,0.0657,-9.869,0.0,0.178,0.105,0.174,0.2339999999999999,183.016,5.0
Ski Mask The Slump God,Get Geeked,,,,,,,,,,,
Big Sean,Harder Than My Demons,0.502,0.731,0.414,-6.138999999999999,1.0,0.243,0.0924,0.0,0.15,106.903,1.0
Juice WRLD,Fighting Demons,0.7070000000000001,0.67,0.235,-6.327999999999999,0.0,0.257,0.0813,0.0,0.098,163.099,7.0
21 Savage,Glock In My Lap,0.847,0.733,0.2019999999999999,-6.439,0.0,0.16,0.0057399999999999,1.04e-05,0.151,130.029,10.0
Lil Yachty,Never Did Coke (feat. Swae Lee),,,,,,,,,,,
Trippie Redd,Chosen,,,,,,,,,,,
SSGKobe,Condo,,,,,,,,,,,
Ski Mask The Slump God,Adults Swim,,,,,,,,,,,
Generation 1,CANCUN,,,,,,,,,,,
Lil Uzi Vert,Silly Watch,0.903,0.535,0.157,-6.238,1.0,0.286,0.0298,0.0,0.0851,130.11700000000002,8.0
Kanye West,Monster,0.89,0.607,0.2239999999999999,-6.916,0.0,0.124,0.158,0.0002279999999999,0.118,134.02200000000002,9.0
DJ Scheme,Baby (feat. iann dior),,,,,,,,,,,
Trippie Redd,Personal Favorite (feat. Rich The Kid),0.679,0.57,0.369,-6.079,1.0,0.0949,0.08,0.0,0.578,150.112,2.0
Gunna,GIMMICK,,,,,,,,,,,
Lil Tecca,Dolly (with Lil Uzi Vert),0.664,0.586,0.589,-7.813,0.0,0.238,0.212,0.0,0.216,88.50200000000001,7.0
Internet Money,Lemonade,0.7440000000000001,0.385,0.228,-8.129,0.0,0.602,0.104,2.43e-05,0.124,160.033,6.0
Lil Yachty,Hit Bout It,,,,,,,,,,,
Cordae,Wassup (feat. Young Thug),,,,,,,,,,,
Lil Baby,2040,,,,,,,,,,,
Lil Tecca,NEVER LEFT,,,,,,,,,,,
Lil Uzi Vert,Loaded,,,,,,,,,,,
Juice WRLD,Bad Boy (with Young Thug),,,,,,,,,,,
MoneyMarr,Mix It,0.8340000000000001,0.439,0.7140000000000001,-12.639,0.0,0.51,0.535,5.83e-06,0.192,133.984,7.0
Lil Tecca,Sidenote,,,,,,,,,,,
The Weeknd,Secrets,0.358,0.662,0.0931,-3.374,1.0,0.0402,0.000562,0.0,0.223,129.96200000000002,10.0
NAV,Recap (feat. Don Toliver),0.838,0.609,0.6,-5.1610000000000005,0.0,0.0502,0.231,0.0,0.0983,127.963,8.0
Young Nudy,F*** Me Mean,0.71,0.7070000000000001,0.7559999999999999,-6.156000000000001,1.0,0.238,0.067,0.0,0.0984,151.85,0.0
DaBaby,ROCKSTAR (feat. Roddy Ricch),0.746,0.69,0.497,-7.956,1.0,0.1639999999999999,0.247,0.0,0.1009999999999999,179.954,11.0
Lil Tecca,Show Me Up,,,,,,,,,,,
Lil Uzi Vert,Pretty Mami,,,,,,,,,,,
Ugly God,Leave A Tip,,,,,,,,,,,
Don Toliver,2 Lil Shorty,,,,,,,,,,,
Lil Uzi Vert,Homecoming,0.4029999999999999,0.696,0.0696,-5.956,0.0,0.236,0.00114,0.265,0.0722,179.998,10.0
Aminé,Compensating (feat. Young Thug),,,,,,,,,,,
DJ Khaled,WE GOING CRAZY (feat. H.E.R. & Migos),,,,,,,,,,,
Cordae,Gifted (feat. Roddy Ricch),0.653,0.603,0.551,-5.697,0.0,0.171,0.175,0.0,0.18,151.016,5.0
Gunna,SUN CAME OUT,,,,,,,,,,,
Lil Uzi Vert,Neon Guts (feat. Pharrell Williams),0.8590000000000001,0.563,0.412,-6.635,0.0,0.1119999999999999,0.0541,0.0,0.0685,119.934,1.0
21 Savage,Mr. Right Now (feat. Drake),0.647,0.667,0.7040000000000001,-5.563,1.0,0.304,0.231,0.0,0.133,172.08,5.0
Young Stoner Life,Ski,,,,,,,,,,,
Ethereal,Beef,0.8140000000000001,0.667,0.545,-6.406000000000001,1.0,0.412,0.0583,0.0,0.187,143.014,11.0
Cordae,Way Back Home (feat. Ty Dolla $ign),,,,,,,,,,,
Cordae,Wintertime,0.636,0.505,0.342,-8.397,1.0,0.385,0.166,0.0,0.15,152.19799999999998,1.0
Migos,Bad and Boujee (feat. Lil Uzi Vert),0.897,0.6609999999999999,0.193,-6.2,0.0,0.27,0.0633,0.0,0.1159999999999999,127.081,8.0
Don Toliver,Cardigan,0.747,0.497,0.0663,-6.542000000000001,0.0,0.0401,0.248,0.0,0.138,142.046,4.0
Playboi Carti,FlatBed Freestyle,0.755,0.552,0.402,-5.604,1.0,0.288,0.0967,0.0,0.158,153.157,9.0
Drake,When To Say When,,,,,,,,,,,
G Herbo,In This Bitch,0.7509999999999999,0.515,0.662,-8.96,1.0,0.355,0.0315,0.0,0.121,145.355,1.0
ILLENIUM,First Time,,,,,,,,,,,
iann dior,what is real,,,,,,,,,,,
