master_metadata_album_artist_name,master_metadata_track_name
Young Nudy,No Comprende
Playboi Carti,Shoota (feat. Lil Uzi Vert)
DJ Khaled,"BODY IN MOTION (feat. Bryson Tiller, Lil Baby & Roddy Ricch)"
Lil Tecca,Glo Up
Future,Million Dollar Play
Migos,Straightenin
Tory Lanez,FeRRis WhEEL (feat. Trippie Redd)
Migos,Vaccine
Ski Mask The Slump God,Faucet Failure
Ski Mask The Slump God,Like A Soccer Mom
Don Toliver,Mamma Mia
Migos,Antisocial (feat. Juice WRLD)
Migos,Having Our Way (feat. Drake)
Migos,Modern Day
Migos,Jane
Migos,Avalanche
Young Stoner Life,Came Out (feat. Lil Keed)
Migos,Malibu (feat. Polo G)
Migos,Roadrunner
Migos,Type Shit (feat. Cardi B)
Migos,Birthday
Playboi Carti,New N3on
Migos,Picasso (feat. Future)
Lil Uzi Vert,How to Talk
Cochise,Dig Me Freestyle
Migos,What You See (feat. Justin Bieber)
Don Toliver,After Party
Juice WRLD,Life's A Mess (feat. Halsey)
Young Nudy,Dispatch (feat. DaBaby)
Young Thug,Hot (feat. Gunna)
Drake,What’s Next
Young Stoner Life,Diamonds Dancing (feat. Travis Scott)
iann dior,Paradise
Lil Tecca,Love Me
Lil Jojo,Tied Up
Karimmokka,Light
Playboi Carti,Not PLaying
Lil Uzi Vert,Lo Mein
The Kid LAROI,Diva (feat. Lil Tecca)
Dreamville,Under The Sun (with J. Cole & Lute feat. DaBaby)
Trippie Redd,FEMALE SHARK
24kGoldn,Mood (feat. iann dior)
Masego,Mystery Lady (feat. Don Toliver)
Playboi Carti,Location
Young Nudy,2Face (feat. G Herbo)
24kGoldn,Don't Sleep
Future,Fine China
iann dior,don't want to fall
24kGoldn,Love Or Lust
The Kid LAROI,SELFISH
Post Malone,I Know
Cordae,Thornton Street
Don Toliver,Drugs N Hella Melodies (feat. Kali Uchis)
Travis Scott,Watch (feat. Lil Uzi Vert & Kanye West)
Big Sean,The Baddest
Lil Uzi Vert,Prices
Lil Uzi Vert,Feelings Mutual
Lil Keed,Million Dollar Mansion (feat. Young Thug)
Playboi Carti,Control
Lil Yachty,COUNT ME IN
JACKBOYS,OUT WEST (feat. Young Thug)
Future,Tic Tac
TWENTY88,Time In
24kGoldn,Yellow Lights
DaBaby,CAN'T STOP
DJ Scheme,Hey Mister (feat. Ski Mask The Slump God)
Juice WRLD,Armed And Dangerous
Lil Yachty,Up Next 3
Quality Control,100 Racks (Offset feat. Playboi Carti)
Kid Cudi,The Pale Moonlight
Lil Yachty,"This That One (feat. Krispy Life Kidd, Veeze, Slap Savage, YN Jay, Louie Ray"
Stunna 4 Vegas,UP THE SMOKE (with Offset)
Lil Uzi Vert,Lullaby
Future,Solitaires (feat. Travis Scott)
Metro Boomin,Space Cadet (feat. Gunna)
Trippie Redd,How I Was Raised
Trippie Redd,Til The End of Time
Kid Cudi,Rockstar Knights (with Trippie Redd)
Quality Control,"Killin' Time (Lil Yachty feat. Offset, Mango Foo)"
Gunna,Cash War
Lil Uzi Vert,Early 20 Rager
Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.)
Playboi Carti,Pull Up
Cordae,Lost & Found
Gucci Mane,Shit Crazy (feat. BIG30)
iann dior,don't wanna believe
Gunna,STREET SWEEPER (feat. Future)
Lil Tecca,Senorita
Don Toliver,Heaven or Hell
Lil Yachty,DAS CAP
Lil Skies,Flooded
Lil Baby,Life Goes On
Lil Yachty,We Outta Here! (feat. Young Nudy)
DaBaby,TOES (feat. Lil Baby & Moneybagg Yo)
Travis Scott,HIGHEST IN THE ROOM
Lil Uzi Vert,New Patek
Young Stoner Life,Real (feat. Unfoonk)
Gunna,200 FOR LUNCH
Lil Tecca,Phenom
J. Cole,a p p l y i n g . p r e s s u r e
Kid Cudi,Lovin’ Me (feat. Phoebe Bridgers)
NAV,Status (feat. Lil Uzi Vert)
Lil Uzi Vert,Money Spread (feat. Young Nudy)
Gunna,Helluva Price
Playboi Carti,dothatshit!
Lil Uzi Vert,Bean (Kobe) [feat. Chief Keef]
Ski Mask The Slump God,DoIHaveTheSause?
Trippie Redd,The Nether
Internet Money,JLO (feat. Lil Tecca)
Trippie Redd,RMP
Lil Tecca,Amigo
Moneybagg Yo,One Of Dem Nights (with Jhené Aiko)
DaBaby,Baby Sitter (feat. Offset)
Playboi Carti,M3tamorphosis (feat. Kid Cudi)
Young Nudy,Blue Cheese Salad
Lil Keed,Repaid
Lil Yachty,SELF MADE
Lil Uzi Vert,Lotus
Lil Uzi Vert,Baby Are You Home
The Kid LAROI,TELL ME WHY
OG Ron C,Back End
Lil Baby,Yes Indeed
Lil Baby,Hats Off (feat. Travis Scott)
THE SCOTTS,THE SCOTTS
Don Toliver,AMG
Future,Plastic
iann dior,romance361
iann dior,Flowers
DaBaby,PICK UP (feat. Quavo)
SSGKobe,proud
iann dior,Strings
21 Savage,Runnin
Mike Shinoda,Happy Endings (feat. iann dior and UPSAHL)
Post Malone,Enemies (feat. DaBaby)
Playboi Carti,Long Time - Intro
Don Toliver,Run Up
Gunna,TOP FLOOR (feat. Travis Scott)
Cordae,RNP (feat. Anderson .Paak)
Playboi Carti,Beno!
Gunna,3 Headed Snake (feat. Young Thug)
A$AP Mob,"Bahamas (feat. A$AP Rocky, A$AP Ferg, A$AP Twelvyy, Lil Yachty, KEY!, ScHoolboy Q & Smooky MarGielaa)"
Internet Money,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)"
Young Stoner Life,Solid (feat. Drake)
Gunna,Same Yung Nigga (feat. Playboi Carti)
Lil Tecca,Out Of Luck
Travis Scott,HOUSTONFORNICATION
Juice WRLD,Flaws And Sins
Maxo Kream,Mars (feat. Lil Uzi Vert)
Since99,Immaculate
Lil Uzi Vert,That Way
Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder)
Travis Scott,90210 (feat. Kacy Hill)
Juice WRLD,Hate The Other Side (with Marshmello & The Kid Laroi)
Young Nudy,GTA Lyfestyle
Doe Boy,LOW KEY (feat. Lil Uzi Vert)
Lil Tecca,Chemistry
Dua Lipa,Levitating (feat. DaBaby)
Young Thug,Mannequin Challenge (feat. Juice WRLD)
Juice WRLD,Make Believe
Travis Scott,CAROUSEL
Playboi Carti,Fell In Luv (feat. Bryson Tiller)
Travis Scott,SKELETONS
Lil Uzi Vert,Sanguine Paradise
Playboi Carti,Mileage (feat. Chief Keef)
Don Toliver,Talk No More
YBN Nahmir,Opp Stoppa (feat. 21 Savage)
Travis Scott,YOSEMITE
Don Toliver,Candy
Kid Cudi,The Void
Drake,Time Flies
Baby Pluto,Closin' It
Trippie Redd,M's
Travis Scott,Pray 4 Love (feat. The Weeknd)
Lil Uzi Vert,Bust Me
Ugly God,Back to the Basics
Lil Tecca,Bossanova
Quality Control,What It Is
Spinabenz,Who I Smoke
DaBaby,BOP
Cordae,Bad Idea (feat. Chance the Rapper)
Lil Yachty,Flex Up (feat. Future & Playboi Carti)
Playboi Carti,Foreign
Post Malone,Myself
Don Toliver,Holdin' Steel (feat. Dice Soho)
Lil Tecca,Did It Again
Lil Uzi Vert,Sauce It Up
Lil Tecca,"Selection (with Skrillex, DJ Scheme)"
Young Stoner Life,Paid the Fine (feat. Lil Baby & YTB Trench)
Young Thug,Diamonds (feat. Gunna)
Don Toliver,No Idea
Cassius Jay,Big Racks (feat. Lil Uzi Vert)
Don Toliver,Bang Bang
Polo G,Go Stupid
Juice WRLD,Blood On My Jeans
Young Thug,Hot (Remix) [feat. Gunna and Travis Scott]
NAV,Turks (feat. Travis Scott)
Roddy Ricch,The Box
Juice WRLD,Righteous
Future,That’s It
Travis Scott,through the late night
Rae Sremmurd,This Could Be Us
Chance the Rapper,All We Got (feat. Kanye West & Chicago Children's Choir)
Outkast,B.O.B. - Bombs Over Baghdad
Lil Uzi Vert,Erase Your Social
Juice WRLD,Wishing Well
Lil Uzi Vert,Celebration Station
Lil Yachty,Whew' Chile
Stunna 4 Vegas,Ashley (with DaBaby)
Kanye West,The Glory
Playboi Carti,New Tank
Doe Boy,Bussin (feat. Lil Uzi Vert)
Aminé,REEL IT IN
Don Toliver,Had Enough (feat. Quavo & Offset)
Lil Keed,Pass It Out (feat. Lil Gotit)
Lil Gnar,Diamond Choker
Lil Yachty,G.I. Joe (feat. Louie Ray)
Young Stoner Life,Litty (feat. DaBaby)
Migos,Taco Tuesday
Gunna,ROCKSTAR BIKERS & CHAINS
Young Stoner Life,No Surprise (feat. Don Toliver & Bslime)
Lil Yachty,Split/Whole Time
Tchami,Praise
Trippie Redd,The Jungle Book
Lil Tecca,When You Down (with Polo G feat. Lil Durk)
SSGKobe,Angels
Ski Mask The Slump God,Foot Fungus
Travis Scott,"FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX"
Lil Yachty,DipSet
Metro Boomin,Up To Something (feat. Travis Scott & Young Thug)
Playboi Carti,R.I.P. Fredo (feat. Young Nudy) - Notice Me
Lil Keed,Traplanta
G Herbo,Who Run It - Remix
Lil Uzi Vert,Super Saiyan
Aminé,"Pressure In My Palms (feat. slowthai, Vince Staples)"
21 Savage,No Heart
Don Toliver,Company
Young Thug,Surf (feat. Gunna)
Lil Uzi Vert,That's a Rack
Quality Control,Once Again
Travis Scott,Antidote
Lil Tecca,Our Time
Future,HiTek Tek
Young Nudy,Scott Evil
Gunna,SKYBOX
Post Malone,Wow.
Travis Scott,STARGAZING
Quality Control,Baby (Lil Baby feat. DaBaby)
DaBaby,PROLLY HEARD
Lil Yachty,"Go Krazy, Go Stupid Freestyle"
Ski Mask The Slump God,Take A Step Back
XXXTENTACION,RIP Roach
Trippie Redd,1400 / 999 Freestyle
Playboi Carti,ILoveUIHateU
DaBaby,REALLY (feat. Stunna 4 Vegas)
Internet Money,Familiar (feat. TheHxliday)
Ugly God,HAHAHA!
Young Nudy,Walking Dead
Brent Faiyaz,Fuck The World (Summer in London)
DJ Scheme,Soda (feat. Take A Daytrip)
21 Savage,Rich Nigga Shit (feat. Young Thug)
Lil Uzi Vert,20 Min
Gunna,Award
21 Savage,No Advance
