master_metadata_album_artist_name,master_metadata_track_name
A$AP Rocky,Sundress
SiR,New Sky (feat. Kadhja Bonet)
Future,Solo
DJ Khaled,BEAUTIFUL (feat. Future & SZA)
Frank Ocean,Pink Matter
redveil,Soulfood
Childish Gambino,III. Urn
Drake,Teenage Fever
Autumn!,One Way!
Hotel Ugly,Shut up My Moms Calling
Ski Mask The Slump God,OOGA BOOGA!
Miguel,Girl With The Tattoo Enter.lewd
TimeRuns,Walk in
G Herbo,Shordie (with Gunna)
Opium Records,Want To
Travis Scott,sweet sweet
Baby Keem,no sense
Baby Keem,a life of pain
Baby Keem,killstreaks (with Don Toliver & PinkPantheress)
Baby Keem,patience interlude
Baby Keem,naked freestyle
Baby Keem,fine china
Baby Keem,highway 95
Baby Keem,bank account (with Lil Uzi Vert)
Trippie Redd,Ain’t Safe (feat. Don Toliver)
Juice WRLD,In My Head
SZA,Shirt
Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By
Lil Baby,Real Spill
Lil Baby,Stand On It
Lil Baby,Pop Out (feat. Nardo Wick)
Lil Baby,Heyy
Lil Baby,California Breeze
Lil Baby,Perfect Timing
Lil Baby,Never Hating (feat. Young Thug)
Lil Baby,Forever (feat. Fridayy)
Lil Baby,Not Finished
Lil Baby,In A Minute
Lil Baby,Waterfall Flow
Lil Baby,Everything
Lil Baby,From Now On (feat. Future)
Lil Baby,Double Down
Lil Baby,Cost To Be Alive (feat. Rylo Rodriguez)
Lil Baby,Top Priority
Vlone Thugg,Slippy
lilpeter24,What U Like
lilpeter24,Without It 2
lilpeter24,Faculty
yan*,OUR DESTINY*
Jason Aldean,You Make It Easy
Beast Coast,"One More Round (feat. Meechy Darko, Erick The Architect & Nyck Caution)"
tripl9,K Like A Russian
Quavo,HOTEL LOBBY (Unc & Phew) - A COLORS SHOW
Beast Coast,"Left Hand (feat. The Underachievers, Kirk Knight, Nyck Caution & CJ Fly)"
iann dior,is it you
Baby Keem,cocoa (with Don Toliver)
Eric Bellinger,G.O.A.T.
Lil Yachty,Poland
Knxwledge,kometostai.aintreallynootherwaytoputitro
DJ Khaled,"SORRY NOT SORRY (feat. Nas, JAY-Z & James Fauntleroy) - Harmonies by The Hive"
Trippie Redd,Never Change (feat. Future)
Smino,Pudgy (with Lil Uzi Vert)
Smino,No L's
Baby Keem,issues
Ski Mask The Slump God,Save The Day (feat. Coi Leray & LouGotCash)
Cochise,On Me
Beast Coast,Rubberband
Lil Baby,Emotionally Scarred
Cookin Soul,Thug Till It's Over
redveil,morphine (da ways)
Maxo,Gold Man
Kenny Beats,So They Say
Drake,No Friends In The Industry
Brent Faiyaz,MERCEDES
4kptr,Good Time
Future,Sleeping On The Floor
A$AP Rocky,Bass
Drake,F*****g Fans
Aminé,meant2b
A Boogie Wit da Hoodie,Flood My Wrist (feat. Lil Uzi Vert)
Aminé,Charmander
Lotus,Shrooms
A$AP Rocky,Sandman
Trippie Redd,Love Me More
Young Thug,Icy Hot (with Doja Cat)
Big Sean,Lithuania (feat. Travis Scott)
Lil Yachty,Dynamic Duo (feat. Tee Grizzley)
Lil Keed,Wavy
David Guetta,Memories (feat. Kid Cudi)
Black Eyed Peas,Let's Get It Started
Kanye West,Gold Digger
xanti00,rage
The Kid LAROI,MAYBE
Offset,Wild Wild West (feat. Gunna)
J. Cole,l e t . g o . m y . h a n d (with Bas & 6LACK)
Cochise,Zoro
The Weeknd,Best Friends
The Weeknd,Starry Eyes
Gunna,private island
Gunna,pushin P (feat. Young Thug)
Gunna,livin wild
Gunna,how you did that (feat. Kodak Black)
Gunna,you & me
Gunna,too easy
Gunna,life of sin (feat. Nechie)
Gunna,die alone (feat. Yung Bleu)
Gunna,missing me
Gunna,so far ahead > empire
Kanye West,Up From The Ashes
24kGoldn,"3, 2, 1"
Lil Keed,Dragon (feat. Roddy Ricch)
Young Nudy,Revenge
Don Toliver,Company Pt 2
electroo,April
Polo G,Last Man Standing
yvngxchris,Been Gettin Money
iann dior,I might
iann dior,heavy
iann dior,dark angel (interlude)
iann dior,obvious (feat. Travis Barker)
iann dior,heartbreak3r
iann dior,options
iann dior,regret
iann dior,thought it was (feat. Machine Gun Kelly & Travis Barker)
iann dior,sinking (interlude)
iann dior,fallin'
1Htxr,Molly
808 DEAD,Houdini
DaBaby,Lonely (with Lil Wayne)
Drake,Forever
Young Thug,Scoliosis (with Lil Double 0)
SIBALeague,Brand New SRT !
Quality Control,Back On
Don Toliver,OUTERSPACE (feat. Baby Keem)
Megan Thee Stallion,Cash Shit (feat. DaBaby)
Kanye West,We Don't Care
Kanye West,Graduation Day
Kanye West,Spaceship
Kanye West,Never Let Me Down
Kanye West,Get Em High
Kanye West,Breathe In Breathe Out
Kanye West,Two Words
Trippie Redd,Death (feat. DaBaby)
mgk,nothing inside (feat. iann dior)
Drake,IMY2 (with Kid Cudi)
Dominic Fike,"Elliot's Song - From ""Euphoria"" An HBO Original Series"
Juicy J,Backseat
Future,Baby Sasuke
xanti00,RAGE
剧毒杀手,Oxygen
J. Cole,t h e . c l i m b . b a c k
Drake,Get Along Better
Don Toliver,Double Standards
早晨,晚上
Soulfly7730,Rental
Lrozen,Been Getting Money
A$AP Mob,Runner (feat. A$AP Ant & Lil Uzi Vert)
A$AP Mob,"London Town (feat. A$AP Rocky, A$AP Ant & Playboi Carti)"
A$AP Mob,Nasty's World (feat. A$AP Nast & Onyx)
Lil Tecca,HOLD ON
Cranked,The Light
luvstvr,Free Uzi!
luvstvr,Sub Zero
SORA!,RUN IT UP!
deadrat,Glock
astra!,Uppin Downers
NAV,Wanted You (feat. Lil Uzi Vert)
Kaskade,Haunt Me V.2
Coasts,You - Remastered
The Heydaze,Hurt Like Hell
The Moth & The Flame,Live While I Breathe
Fickle Friends,Swim
The 1975,Sex
Bad Suns,Disappear Here
The Moth & The Flame,Young & Unafraid
WALK THE MOON,Boyfriend
Young the Giant,Something to Believe In
Good Scott,Native
Kaskade,Haunt Me
The Wombats,Emoticons
Avid Dancer,I Feel It
Local Natives,Fountain Of Youth
Phantogram,Same Old Blues
888,Critical Mistakes
The 1975,Love It If We Made It
The 1975,UGH!
GROUPLOVE,Do You Love Someone
GROUPLOVE,Welcome to Your Life - Recorded at Spotify Studios NYC
No Rome,Narcissist (feat. The 1975)
Bear Hands,2AM
Kaskade,ICE v3
Wiz Khalifa,See You Again (feat. Charlie Puth)
KIDS SEE GHOSTS,Reborn
Billie Eilish,Lost Cause
Rihanna,Stay
JuiceTheKidd999,Rental
Maitchhh,Chimp
luvstvr,Money Flip
The Backseat Lovers,Kilby Girl
Peggy Gou,(It Goes Like) Nanana
Peggy Gou,(It Goes Like) Nanana - Edit
Kanii,I Know - PR1SVX Edit
Frou Frou,A New Kind Of Love - Demo
Will Paquin,Chandelier
Men I Trust,Show Me How
Mitski,My Love Mine All Mine
KiLLOWEN,Smile
Jung Kook,Standing Next to You
Reek0,Womaniser
EXO,Obsession
Nix Northwest,Life's a Bitch
Strawberry Guy,Mrs Magic
3vs,Step Like
Loraxx,Feel.
Frank Ocean,Ivy
Ken Carson,Jennifer’s Body
PinkPantheress,Nice to meet you (feat. Central Cee)
PinkPantheress,The aisle
Skitz00,HOODBYAIR
Jhené Aiko,P*$$Y Fairy (OTW)
The Weeknd,Die For You (with Ariana Grande) - Remix
Fabolous,Into You (feat. Tamia)
Uzi Running Da City,Sub Zero
Drake,Rich Baby Daddy (feat. Sexyy Red & SZA)
Ken Carson,Singapore (feat. Destroy Lonely)
Don Toliver,Cinderella (feat. Toro y Moi)
Bryansanon,I feel it
Kendrick Lamar,All The Stars (with SZA)
SZA,Used (feat. Don Toliver)
Nicki Minaj,Everybody (feat. Lil Uzi Vert)
Cordae,Today (feat. Gunna)
Don Toliver,Slow Motion (feat. Wizkid)
Drake,Pipe Down
Kyle Richh,G19
MF DOOM,Doomsday
monte booker,Kompany
21 Savage,out for the night - part 2
iann dior,Prospect (feat. Lil Baby)
KAYTRANADA,Intimidated (feat. H.E.R.)
SweepersENT,Emotional
Jhené Aiko,Lotus - intro
Jhené Aiko,Triggered (freestyle)
Jhené Aiko,None Of Your Concern (feat. Big Sean)
Jhené Aiko,Speak
Jhené Aiko,B.S. (feat. H.E.R.)
Lil Yachty,Minnesota
DJ ESCO,Too Much Sauce (feat. Future & Lil Uzi Vert)
Jorja Smith,Greatest Gift (feat. Lila Iké)
Tems,Ice T
Katy Perry,Teenage Dream
SZA,Snooze
Lil Tecca,500lbs
Doja Cat,Agora Hills
Joey Bada$$,Love Is Only a Feeling
The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster"
Drake,Texts Go Green
Alexnocap,COMPETE
Juice WRLD,Wandered To LA (with Justin Bieber)
Mike WiLL Made-It,Blood Moon (feat. Lil Uzi Vert)
Lil Uzi Vert,Pump Up The Jam
41,Cuz We Did
Wizkid,Mood (feat. BNXN)
Lil Uzi Vert,Died and Came Back
Travis Scott,LOOOVE (feat. Kid Cudi)
Sdot Go,Tooteres
Drake,Broke Boys
"Tyler, The Creator",SORRY NOT SORRY
TiaCorine,FreakyT
Flo Milli,Never Lose Me (feat. Lil Yachty)
KAYTRANADA,YOU'RE THE ONE
KAYTRANADA,10% (feat. Kali Uchis)
Kali Uchis,I Wish you Roses
Jordan Ward,ZOOMIES
Kali Uchis,Your Teeth In My Neck
KAYTRANADA,TRACK UNO
KAYTRANADA,BUS RIDE
KAYTRANADA,GOT IT GOOD
KAYTRANADA,TOGETHER
KAYTRANADA,DRIVE ME CRAZY
KAYTRANADA,WEIGHT OFF
KAYTRANADA,ONE TOO MANY
KAYTRANADA,DESPITE THE WEATHER
KAYTRANADA,GLOWED UP
KAYTRANADA,VIVID DREAMS
KAYTRANADA,LITE SPOTS
KAYTRANADA,LEAVE ME ALONE
KAYTRANADA,BULLETS
Zany ITachi,Big Bag B No 1s
Drake,You Broke My Heart
Juice WRLD,Go Hard 2.0
etructi,Rental
Trippie Redd,1400 / 999 Freestyle (feat. Juice WRLD)
Baby Keem,The Hillbillies
Tems,Me & U
Metro Boomin,Too Many Nights (feat. Don Toliver & with Future)
Joey Bada$$,Don't Front
MCVERTT,Face Down
Sexyy Red,Looking For The Hoes (Ain’t My Fault)
iann dior,Sick and Tired (feat. Machine Gun Kelly & Travis Barker)
Sam Gellaitry,Assumptions - Kaytranada Edit
Sam Gellaitry,Assumptions
Kyle Richh,Strangers
PinkPantheress,Do You Miss Me?
Jordan Ward,MUSTARD (with 6LACK)
Playboi Carti,Love Hurts (feat. Travis Scott)
Kodak Black,Skrt
PinkPantheress,Another life (feat. Rema)
Tame Impala,Borderline
offstar,mr take ya bitch x I must apologise (Jersey Club)
Dro Kenji,UDNTLUVME - Jersey Club Mix
JBroadway,My Humps - JBroadway Remix
Tame Impala,Is It True
Rihanna,Kiss It Better - KAYTRANADA Edition
Drake,Currents
SZA,Low
Fireboy DML,Bandana
Travis Scott,MY EYES
SZA,Jodie
Lil Uzi Vert,Red Moon
Summer Walker,"To Summer, From Cole - Audio Hug"
Amaarae,Angels in Tibet
Kendrick Lamar,Rich Spirit
A$AP Rocky,Arya (feat. A$AP Rocky)
Kali Uchis,Dead To Me
Klutchi,Friends With Benefits
SZA,The Weekend - Funk Wav Remix
The Kid LAROI,BLEED
The Kid LAROI,SORRY
The Kid LAROI,I THOUGHT THAT I NEEDED YOU
Lil Uzi Vert,Fire Alarm (feat. Snow Strippers)
Lil Yachty,Slide
Drake,Virginia Beach
Travis Scott,DELRESTO (ECHOES) (feat. Beyoncé)
Ice Spice,Deli
Offset,JEALOUSY (feat. Cardi B)
Drake,Fountains (with Tems)
Bad Bunny,NADIE SABE
Bad Bunny,MONACO
Bad Bunny,FINA
Bad Bunny,HIBIKI
Bad Bunny,MR. OCTOBER
Bad Bunny,CYBERTRUCK
Bad Bunny,VOU 787
Bad Bunny,SEDA
Bad Bunny,GRACIAS POR NADA
Bad Bunny,TELEFONO NUEVO
Southside,Gimme Da Lite
Sexyy Red,Hellcats SRTs
Latto,Big Energy
Drake,IDGAF (feat. Yeat)
Drake,Bahamas Promises
Cochise,HYDROPLANE
Brent Faiyaz,Upset (feat. Tommy Richman & FELIX!)
Yeat,Luv monëy (with Lancey Foux)
Drake,Amen (feat. Teezo Touchdown)
The Weeknd,Save Your Tears (with Ariana Grande) (Remix)
Tinashe,X
A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2)
Lil Tecca,Monday to Sunday
Jordan Ward,Lil Baby Crush
Jorja Smith,Little Things
A$AP Rocky,RIOT (Rowdy Pipe'n)
Ken Carson,Me N My Kup
Metro Boomin,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff)
Drake,Tried Our Best
Lil Tecca,Dead or Alive
Jorja Smith,Come Over (Remix)
Bryson Tiller,Don't
Lil Yachty,TESLA
Lil Yachty,SOLO STEPPIN CRETE BOY
ScHoolboy Q,Collard Greens
Ken Carson,Yale
Kali Uchis,Fantasy (feat. Don Toliver)
Don Toliver,Honeymoon
Bryson Tiller,Exchange
Young Thug,Hellcat Kenny (feat. Lil Uzi Vert)
Sexyy Red,Bow Bow Bow (F My Baby Mama) (feat. Chief Keef)
Offset,SAY MY GRACE (feat. Travis Scott)
Brent Faiyaz,WY@
Chief Keef,Faneto
Travis Scott,TOPIA TWINS (feat. Rob49 & 21 Savage)
Jorja Smith,On My Mind (Jorja Smith X Preditah)
Young Thug,Oh U Went (feat. Drake)
Don Toliver,Embarrassed (feat. Travis Scott)
Travis Scott,5% TINT
Drake,Spin Bout U
KAYTRAMINÉ,UGH UGH
GE3Z,No Munchies
Destroy Lonely,spillin
Brent Faiyaz,Wherever I Go
Kanye West,Touch The Sky
Aminé,YiPiYaY
Don Toliver,Company Pt. 3
Martin Solveig,Hello (feat. Dragonette)
Ken Carson,Succubus
Jorja Smith,Addicted
Internet Money,Lemonade (feat. NAV)
Brent Faiyaz,Forever Yours
iann dior,hopeless romantic
Kali Uchis,Tyrant (feat. Jorja Smith)
Tory Lanez,Hurts Me
J. Cole,January 28th
Cochise,KANEKI
Noname,Diddy Bop
Frustration,Break The Bank
Ken Carson,"Like This (feat. Lil Uzi Vert, Destroy Lonely)"
Veeze,GOMD (feat. Lil Uzi Vert) - Remix
"Tyler, The Creator",DOGTOOTH
Lateras,6 AM
Metro Boomin,Creepin' (with The Weeknd & 21 Savage)
Drake,8am in Charlotte
Kendrick Lamar,LOVE. FEAT. ZACARI.
41,Bent
Drake,Search & Rescue
Summrs,just cant
Noname,Yesterday
Noname,Sunny Duet
Jordan Ward,IDC (with Joony)
J. Cole,No Role Modelz
Sdot Go,FREE G
YungManny,MURDAMAN! (feat. Chief Keef)
Kanye West,Bound 2
The Alchemist,E. Coli (feat. Earl Sweatshirt)
Brent Faiyaz,Moment Of Your Life
J Hus,Did You See
Travis Scott,TELEKINESIS (feat. SZA & Future)
Lil Yachty,drive ME crazy!
Tory Lanez,The Color Violet
Trippie Redd,Miss The Rage
Drake,All The Parties (feat. Chief Keef)
GROOVY,jersey luv
Dominic Fike,Mona Lisa (Spider-Man: Across the Spider-Verse)
BaBa,Wtf Just Happened
Miguel,Caramelo Duro (feat. Kali Uchis)
NAV,Interstellar (with Lil Uzi Vert)
Lil Tecca,Either Way
Lil Durk,What Happened To Virgil (feat. Gunna)
Don Toliver,Go Down (feat. TisaKorean)
Teedra Moses,Be Your Girl (Kaytranada Edition)
GEE LEE,Fast Life
Don Toliver,No Photos
calamity,hood by air
Jordan Ward,FAMJAM4000
Victoria Monét,We Might Even Be Falling In Love (Interlude)
Young Thug,"Wit Da Racks (feat. 21 Savage, Travis Scott & Yak Gotti)"
Lowreiro,Thot Back
Lil Uzi Vert,Aye (feat. Travis Scott)
41,Jenn Jenn Jenn
Don Toliver,No Pole
41,Deuce
Drake,From Florida With Love
Lil Durk,All My Life (feat. J. Cole)
Lilrello2x,I Get High (Remix)
Styles P,Good Times
Teyana Taylor,Gonna Love Me
iann dior,my turn
KAYTRANADA,DO IT
KAYTRANADA,2 The Music (feat. Iman Omari)
KAYTRANADA,Go DJ (feat. SiR)
KAYTRANADA,Gray Area (feat. Mick Jenkins)
Gunna,rodeo dr
Travis Scott,GOD'S COUNTRY
Trippie Redd,MP5
Nicki Minaj,Forward From Trini (feat. Skillibeng & Skeng)
Drake,Wick Man
Drake,Get It Together
Tyla,Water - Remix
"Tyler, The Creator",SAFARI
Lil Uzi Vert,Watch This - ARIZONATEARS Pluggnb Remix
21 Savage,3AM on Glenwood
Don Toliver,Bus Stop (feat. Brent Faiyaz)
PinkPantheress,Boy's a liar Pt. 2
Don Toliver,Encouragement
LUCKI,WHITE HOUSE (feat. Babyface Ray)
paulys x,Rental
Ufo361,RICK OWENS (feat. Ken Carson)
Baby Keem,first order of business
Wizkid,Essence (feat. Tems)
Odetari,NARCISSISTIC PERSONALITY DISORDER
Diplo,Wish (feat. Trippie Redd) - Trippie Mix
Don Toliver,Swangin’ On Westheimer
Sdot Go,I LIKE TO PARTY
PinkPantheress,True romance
Young Thug,Want Me Dead (feat. 21 Savage)
Young Nudy,Peaches & Eggplants (feat. 21 Savage)
Kendrick Lamar,Alright
Landon Conrath,2AM
Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners)
Eyedress,Jealous
Riovaz,the Rake (can’t complain)
Tame Impala,Lost In Yesterday
Goth Babe,Weekend Friend
Tame Impala,Breathe Deeper
Sparky Deathcap,September
PinkPantheress,Bury me (feat. Kelela)
Tame Impala,Glimmer
Fireboy DML,Champion
J3FFREY,Dropped Out (Remix)
A$AP Rocky,Fashion Killa
Tory Lanez,Broke In A Minute
iann dior,do it all
Internet Money,His & Hers (feat. Don Toliver & Lil Uzi Vert)
Ariana Grande,"yes, and?"
Drake,What Would Pluto Do
SZA,Drew Barrymore
SZA,Wavy (Interlude) (feat. James Fauntleroy)
SZA,Prom
SZA,20 Something
21 Savage,american dream
21 Savage,all of me
21 Savage,redrum
21 Savage,n.h.i.e.
21 Savage,sneaky
21 Savage,pop ur shit
21 Savage,letter to my brudda
21 Savage,dangerous
21 Savage,née-nah
21 Savage,see the real
21 Savage,prove it
21 Savage,should've wore a bonnet
21 Savage,just like me
21 Savage,red sky
21 Savage,dark days
The Weeknd,Dawn FM
Doja Cat,Paint The Town Red
Doja Cat,Demons
Young Nudy,One Dolla
J. Cole,MIDDLE CHILD
Drake,Evil Ways (feat. J. Cole)
Jabu Graybeal,WAY WAY BACK
BabyDrill,Slight Dub (feat. 21 Savage & Young Nudy)
Gunna,paybach
Lil Uzi Vert,Ronda (Winners)
Trippie Redd,Rich MF (feat. Lil Durk)
Lil Yachty,Final Form
Lil Yachty,Don’t Even Bother (feat. Veeze & Baby Smoove)
Joey Bada$$,Summer Knights
Joey Bada$$,Waves
Joey Bada$$,FromdaTomb$
Joey Bada$$,Survival Tactics
Joey Bada$$,Killuminati
Lil Uzi Vert,Two®
Don Toliver,Let Her Go (feat. James Blake)
Drake,Red Button
Young Nudy,Shrimp
Kendrick Lamar,Money Trees
Miguel,Sure Thing
Jordan Ward,SIDEKICK (with Joyce Wrice) - BONUS
Daniel Caesar,Get You (feat. Kali Uchis)
Drake,Slime You Out (feat. SZA)
Brent Faiyaz,Moment Of Your Life (feat. Coco Jones)
Tems,Replay
Don Toliver,4 Me (feat. Kali Uchis)
SZA,Blind
Flo Milli,Never Lose Me (feat. Bryson Tiller)
KAYTRAMINÉ,Sossaup
iann dior,shots in the dark
Brent Faiyaz,Last One Left (feat. Missy Elliott & Lil Gray)
NAV,Dead Shot (with Lil Uzi Vert)
J Hus,Who Told You (feat. Drake)
MeRkz,4100 One Mic Cypher
Travis Scott,SKITZO (feat. Young Thug)
Erykah Badu,Didn't Cha Know
Nicki Minaj,Pink Birthday
Nas,The World Is Yours
Metro Boomin,I Can't Save You (Interlude) [with Future & feat. Don Toliver]
Trippie Redd,YELL OH (feat. Young Thug)
T BID,Big Bag B No 1s
Trippie Redd,How I Was Raised (feat. Lil Tecca)
Don Toliver,Private Landing (feat. Justin Bieber & Future)
Lil Yachty,The Secret Recipe
Travis Scott,MODERN JAM (feat. Teezo Touchdown)
Cassius Jay,Today Was a Good Day
Smino,Ole Ass Kendrick
Tems,Crazy Tings
mylifemovie,COMPETE
Tory Lanez,And This is Just The Intro
Bad Bunny,MIA
Drake,Daylight
Juice WRLD,Sometimes
Pharrell Williams,Down In Atlanta
Drake,Pussy & Millions (feat. Travis Scott)
Sleepy Hallow,2055
JID,Van Gogh (feat. Lil Yachty)
Baby Keem,hooligan
NAV,Call Me
Jay Hound,UKRAINE
SweepersENT,Lie To Me
Lancey Foux,25WAGG3DOU2
Lil Uzi Vert,Spin Again
No Jumper,Hard (feat. Tay-K and BlocBoy JB)
Babyface Ray,Ron Artest
Drake,Sticky
Yeat,3G (feat. Lil Uzi Vert)
Travis Scott,Oh My Dis Side (feat. Quavo)
Drake,Hours In Silence
Travis Scott,MELTDOWN (feat. Drake)
Nicki Minaj,Needle (feat. Drake)
Drake,First Person Shooter (feat. J. Cole)
Lil Baby,"Never Recover (Lil Baby & Gunna, Drake)"
Brent Faiyaz,Outside All Night (feat. A$AP Rocky & N3WYRKLA)
Only The Family,Hellcats & Trackhawks
Offset,Danger (Spider) (Offset & JID)
Michael Jackson,Wanna Be Startin' Somethin'
Aldo G,Patek Swag
NLE Choppa,DO IT AGAIN (feat. 2Rare)
Travis Scott,LOST FOREVER (feat. Westside Gunn)
texotr,Been Gettin Money
Chief Keef,Love Sosa
Bobby Shmurda,Hot N*gga
Jay Hound,"Neaky, Pt. 2"
Lil Baby,We Paid (feat. 42 Dugg)
Saint Harison,homies
Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown]
Future,Too Comfortable
Don Toliver,"Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)"
Lil Uzi Vert,Patience (feat. Don Toliver)
Nicki Minaj,FTCU
Drake,Calling For You (feat. 21 Savage)
Cochise,CAUTIOUS
Lil Uzi Vert,I Gotta
Jorja Smith,Time
Sonder,Make Me Stay
Shawny Binladen,TRAPHOUSE ROCKiN
YBN Nahmir,Rubbin off the Paint
Lil Tecca,HVN ON EARTH (with Kodak Black)
dialE,AOT
Drake,Take Care
Trippie Redd,Matt Hardy 999
Korede Bello,Bella
Lil Uzi Vert,Flooded The Face
Travis Scott,I KNOW ?
Jordan Ward,WHITE CROCS (with Ryan Trey)
SZA,Open Arms (feat. Travis Scott)
SZA,Warm Winds (feat. Isaiah Rashad)
Jhené Aiko,stranger
SZA,Childs Play (feat. Chance the Rapper)
Brent Faiyaz,Tim's Intro
Frank Ocean,Godspeed
Jordan Ward,311 (with Gwen Bunn)
Brent Faiyaz,Trust
Kendrick Lamar,We Cry Together
Travis Scott,Pornography
Brent Faiyaz,Best Time
Cordae,Chronicles (feat. H.E.R. & Lil Durk)
Victony,Apollo
Chris Mula,Go To Work
Giveon,Make You Mine
Don Toliver,Geronimo
Lyrical Lemonade,"Fly Away (with Sheck Wes, Ski Mask The Slump God & JID)"
Lyrical Lemonade,Guitar In My Room (with Lil Durk & Kid Cudi)
Lyrical Lemonade,Say Ya Grace (with Chief Keef & Lil Yachty)
Lyrical Lemonade,"This My Life (with Lil Tecca, The Kid LAROI & Lil Skies)"
Lyrical Lemonade,"First Night (with Teezo Touchdown, Juicy J, Cochise, Denzel Curry & Lil B)"
Lyrical Lemonade,"Special (with Latto, Swae Lee & Aminé)"
Lyrical Lemonade,With The Fish (with $not & 6 Dogs)
Lyrical Lemonade,"Fallout (with Gus Dapperton, Lil Yachty & Joey Bada$$)"
Lyrical Lemonade,Equilibrium (with BabyTron & G Herbo)
Lyrical Lemonade,"Hello There (with Lil Tracy, Corbin & Black Kray)"
UMI,"Hummingbird (with UMI, SahBabii & Teezo Touchdown)"
Lyrical Lemonade,Stop Giving Me Advice (with Jack Harlow & Dave)
Noname,All I Need
Noname,Reality Check
Noname,Freedom Interlude
Noname,Casket Pretty
Noname,Forever
Noname,Bye Bye Baby
Noname,Shadow Man
Kodak Black,Roll in Peace (feat. XXXTENTACION)
Kodak Black,Transportin'
PinkPantheress,Break It Off - Bonus
21 Savage,pad lock
Drake,The Shoe Fits
Isaiah Rashad,Wat's Wrong (feat. Zacari & Kendrick Lamar)
Drake,Stories About My Brother
Brent Faiyaz,HEAL YOUR HEART (INTERLUDE)
Kodak Black,Calling My Spirit
Megan Thee Stallion,HISS
Ice Spice,Think U The Shit (Fart)
Mac DeMarco,Chamber Of Reflection
Rick Ross,Here I Am
Destroy Lonely,too damn rich
Don Toliver,LoveSickness
Miguel,Banana Clip
Metro Boomin,Trance (with Travis Scott & Young Thug)
Smino,Maraca
Smino,Glass Flows
Smino,Flea Flicka
Smino,Spitshine
Smino,Netflix & Dusse
Smino,Anita
Smino,Lobby Kall
Smino,Edgar Allan Poe'd Up
Smino,Father Son Holy Smoke
Smino,B Role
Smino,Blkoscars
Smino,blkswn
Smino,Long Run
Smino,Innamission
Smino,Silk Pillows
Smino,Ricky Millions
Smino,Amphetamine
Kali Uchis,Only Girl
Vince Staples,THE BEACH
"Tyler, The Creator","FIND YOUR WINGS (feat. Roy Ayers, Sydney Bennett & Kali Uchis)"
Smino,SUMMER SALT (with Bari)
Aaron May,Focus (Interlude)
"Tyler, The Creator",Pothole (feat. Jaden Smith)
Jordan Ward,Tapas
Smino,KLINK
Brent Faiyaz,Lost Kids Get Money
Aaron May,Dreams
Smino,SPINZ
Jordan Ward,Seedalight
Thundercat,Walk On By
Daniel Caesar,FRONTAL LOBE MUZIK
Dreamville,"1993 (with J. Cole, JID, Cozz & EARTHGANG feat. Smino & Buddy)"
Smino,Blu Billy
Big Sean,Same Time Pt. 1
bLAck pARty,Summer Love
Jordan Ward,Standards
Daniel Caesar,ENTROPY
Brent Faiyaz,Poundz
BLK ODYSSY,GHOST RIDE
Jordan Ward,THINK TWICE
Solange,Mad (feat. Lil Wayne)
Brent Faiyaz,Why'z it so hard
Aaron May,One For Me
WESTSIDE BOOGIE,CAN'T GET OVER YOU (feat. Smino & Teezo Touchdown)
Joey Bada$$,Y U DON'T LOVE ME? (MISS AMERIKKKA)
Smino,Z4L (with Bari & Jay2)
Daniel Caesar,RESTORE THE FEELING
Vince Staples,TAKE ME HOME
Thundercat,Fair Chance
Smino,Ruby Red
GoldLink,Late Night (feat. Masego)
Denzel Curry,So.Incredible.pkg [Robert Glasper Version Feat. Smino]
MAVI,My Good Ghosts
redveil,Campbell
Smino,LOW DOWN DERRTY BLUES
GoldLink,Herside Story
Aaron May,In Love
WESTSIDE BOOGIE,NONCHALANT (feat. Mamii)
Lute,GED (Gettin Every Dolla)
Childish Gambino,The Palisades
GoldLink,New Black
reggie,AIN'T GON STOP ME
Free Nationals,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra)
Smino,Louphoria (with Cruza)
Nascent,Straight Forward
Saba,Still (feat. 6LACK and Smino)
GoldLink,Justine's Interlude - A COLORS SHOW
Aminé,SHINE
Owen Harri$,Fake From The Jump
Soul For Real,Candy Rain
Twista,Slow Jamz (feat. Kanye West & Jamie Foxx)
Snoh Aalegra,I Want You Around
NxWorries,Where I Go (feat. H.E.R.)
Isaiah Rashad,Ronnie Drake (feat. SZA)
A$AP Rocky,West Side Highway
Tory Lanez,Midnight's Interlude
Daniel Caesar,Hold Me Down
DMP,No More Excuses
Trippie Redd,KNIGHT CRAWLER
Aye,April Fools
LUCKI,Greed (feat. Lil Yachty)
Metro Boomin,Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa]
Young Nudy,Okra
GE3Z,Duke Em
Gunna,bottom
Kali Uchis,telepatía
Cigarettes After Sex,Apocalypse
Empire Of The Sun,Walking On A Dream
